DATE,3M_JGB_Yield
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,0.1
2002-05-31,0.08
2002-06-30,0.0899999999999999
2002-07-31,0.0899999999999999
2002-08-31,0.07
2002-09-30,0.08
2002-10-31,0.08
2002-11-30,0.08
2002-12-31,0.1
2003-01-31,0.1
2003-02-28,0.0899999999999999
2003-03-31,0.08
2003-04-30,0.08
2003-05-31,0.08
2003-06-30,0.0899999999999999
2003-07-31,0.0899999999999999
2003-08-31,0.0899999999999999
2003-09-30,0.0899999999999999
2003-10-31,0.0899999999999999
2003-11-30,0.08
2003-12-31,0.1
2004-01-31,0.0899999999999999
2004-02-29,0.0899999999999999
2004-03-31,0.08
2004-04-30,0.08
2004-05-31,0.08
2004-06-30,0.0899999999999999
2004-07-31,0.0899999999999999
2004-08-31,0.0899999999999999
2004-09-30,0.0899999999999999
2004-10-31,0.0899999999999999
2004-11-30,0.0899999999999999
2004-12-31,0.1
2005-01-31,0.1
2005-02-28,0.1
2005-03-31,0.08
2005-04-30,0.08
2005-05-31,0.08
2005-06-30,0.0899999999999999
2005-07-31,0.0899999999999999
2005-08-31,0.0899999999999999
2005-09-30,0.0899999999999999
2005-10-31,0.0899999999999999
2005-11-30,0.0899999999999999
2005-12-31,0.1
2006-01-31,0.1035999999999999
2006-02-28,0.11
2006-03-31,0.1255
2006-04-30,0.14
2006-05-31,0.27
2006-06-30,0.3499999999999999
2006-07-31,0.44
2006-08-31,0.4319999999999999
2006-09-30,0.4359999999999999
2006-10-31,0.447
2006-11-30,0.502
2006-12-31,0.54
2007-01-31,0.54
2007-02-28,0.66
2007-03-31,0.66
2007-04-30,0.65
2007-05-31,0.67
2007-06-30,0.7299999999999999
2007-07-31,0.77
2007-08-31,0.8399999999999999
2007-09-30,0.8499999999999999
2007-10-31,0.8499999999999999
2007-11-30,0.8699999999999999
2007-12-31,0.8599999999999999
2008-01-31,0.8499999999999999
2008-02-29,0.8499999999999999
2008-03-31,0.8399999999999999
2008-04-30,0.8399999999999999
2008-05-31,0.8399999999999999
2008-06-30,0.8599999999999999
2008-07-31,0.8499999999999999
2008-08-31,0.8499999999999999
2008-09-30,0.8699999999999999
2008-10-31,0.89
2008-11-30,0.88
2008-12-31,0.7399999999999999
2009-01-31,0.7199999999999999
2009-02-28,0.7099999999999999
2009-03-31,0.65
2009-04-30,0.5999999999999999
2009-05-31,0.57
2009-06-30,0.56
2009-07-31,0.55
2009-08-31,0.54
2009-09-30,0.54
2009-10-31,0.53
2009-11-30,0.51
2009-12-31,0.46
2010-01-31,0.45
2010-02-28,0.44
2010-03-31,0.4299999999999999
2010-04-30,0.4
2010-05-31,0.39
2010-06-30,0.38
2010-07-31,0.3699999999999999
2010-08-31,0.3599999999999999
2010-09-30,0.3599999999999999
2010-10-31,0.34
2010-11-30,0.34
2010-12-31,0.34
2011-01-31,0.34
2011-02-28,0.34
2011-03-31,0.33615
2011-04-30,0.3328599999999999
2011-05-31,0.3321399999999999
2011-06-30,0.3321399999999999
2011-07-31,0.3321399999999999
2011-08-31,0.3285699999999999
2011-09-30,0.32929
2011-10-31,0.32929
2011-11-30,0.32929
2011-12-31,0.32929
2012-01-31,0.33077
2012-02-29,0.3316699999999999
2012-03-31,0.3316699999999999
2012-04-30,0.3316699999999999
2012-05-31,0.3316699999999999
2012-06-30,0.33455
2012-07-31,0.32727
2012-08-31,0.32727
2012-09-30,0.32727
2012-10-31,0.3263599999999999
2012-11-30,0.31818
2012-12-31,0.30818
2013-01-31,0.2918199999999999
2013-02-28,0.2690899999999999
2013-03-31,0.25
2013-04-30,0.2281799999999999
2013-05-31,0.2281799999999999
2013-06-30,0.2281799999999999
2013-07-31,0.228
2013-08-31,0.228
2013-09-30,0.228
2013-10-31,0.221
2013-11-30,0.22
2013-12-31,0.22
2014-01-31,0.22
2014-02-28,0.2119999999999999
2014-03-31,0.2119999999999999
2014-04-30,0.2119999999999999
2014-05-31,0.2099999999999999
2014-06-30,0.2099999999999999
2014-07-31,0.2099999999999999
2014-08-31,0.2099999999999999
2014-09-30,0.2099999999999999
2014-10-31,0.192
2014-11-30,0.1819999999999999
2014-12-31,0.1789999999999999
2015-01-31,0.1729999999999999
2015-02-28,0.171
2015-03-31,0.17
2015-04-30,0.17
2015-05-31,0.1689999999999999
2015-06-30,0.1689999999999999
2015-07-31,0.1689999999999999
2015-08-31,0.1689999999999999
2015-09-30,0.1689999999999999
2015-10-31,0.1689999999999999
2015-11-30,0.1689999999999999
2015-12-31,0.1689999999999999
2016-01-31,0.1689999999999999
2016-02-29,0.098
2016-03-31,0.098
2016-04-30,0.0599999999999999
2016-05-31,0.0599999999999999
2016-06-30,0.0589999999999999
2016-07-31,0.0579999999999998
2016-08-31,0.0579999999999998
2016-09-30,0.0559999999999998
2016-10-31,0.0559999999999998
2016-11-30,0.0559999999999998
2016-12-31,0.0559999999999998
2017-01-31,0.0559999999999998
2017-02-28,0.0559999999999998
2017-03-31,0.0559999999999998
2017-04-30,0.0559999999999998
2017-05-31,0.0559999999999998
2017-06-30,0.0559999999999998
2017-07-31,0.0749999999999999
2017-08-31,0.0559999999999998
2017-09-30,0.0559999999999998
2017-10-31,0.063
2017-11-30,0.063
2017-12-31,0.063
2018-01-31,0.068
2018-02-28,0.068
2018-03-31,0.0969999999999999
2018-04-30,0.0969999999999999
2018-05-31,0.078
2018-06-30,0.078
2018-07-31,0.0909999999999999
2018-08-31,0.0909999999999999
2018-09-30,0.05
2018-10-31,0.05
2018-11-30,0.05
2018-12-31,0.05
2019-01-31,0.0299999999999999
2019-02-28,0.0299999999999999
2019-03-31,0.05
2019-04-30,0.05
2019-05-31,0.049
2019-06-30,0.049
2019-07-31,0.049
2019-08-31,0.0089999999999999
2019-09-30,0.0089999999999999
2019-10-31,0.0089999999999999
2019-11-30,0.0179999999999999
2019-12-31,0.021
2020-01-31,0.021
2020-02-29,0.021
2020-03-31,0.006
2020-04-30,-0.039
2020-05-31,-0.042
2020-06-30,-0.042
2020-07-31,-0.065
2020-08-31,-0.065
2020-09-30,-0.055
2020-10-31,-0.055
2020-11-30,-0.055
2020-12-31,-0.055
2021-01-31,-0.055
2021-02-28,-0.055
2021-03-31,-0.065
2021-04-30,-0.065
2021-05-31,-0.065
2021-06-30,-0.0719999999999999
2021-07-31,-0.0719999999999999
2021-08-31,-0.0719999999999999
2021-09-30,-0.0719999999999999
2021-10-31,-0.0719999999999999
2021-11-30,-0.0719999999999999
2021-12-31,-0.049
2022-01-31,-0.049
2022-02-28,-0.049
2022-03-31,-0.049
2022-04-30,-0.049
2022-05-31,-0.049
2022-06-30,0.005
2022-07-31,-0.031
2022-08-31,-0.02
2022-09-30,-0.016
2022-10-31,-0.016
2022-11-30,-0.016
2022-12-31,-0.0149999999999999
2023-01-31,-0.006
2023-02-28,0.001
2023-03-31,-0.008
2023-04-30,-0.001
2023-05-31,-0.019
2023-06-30,-0.003
2023-07-31,-0.003
2023-08-31,-0.003
2023-09-30,0.024
2023-10-31,-0.012
2023-11-30,0.024
2023-12-31,0.0519999999999999
