DATE,5Y_Yield
2000-01-31,0.908
2000-02-29,1.009
2000-03-31,1.062
2000-04-30,0.999
2000-05-31,0.895
2000-06-30,1.056
2000-07-31,0.958
2000-08-31,1.14
2000-09-30,1.168
2000-10-31,1.07
2000-11-30,0.935
2000-12-31,0.955
2001-01-31,0.805
2001-02-28,0.63
2001-03-31,0.575
2001-04-30,0.516
2001-05-31,0.39
2001-06-30,0.403
2001-07-31,0.455
2001-08-31,0.46
2001-09-30,0.498
2001-10-31,0.465
2001-11-30,0.52
2001-12-31,0.54
2002-01-31,0.695
2002-02-28,0.635
2002-03-31,0.55
2002-04-30,0.495
2002-05-31,0.48
2002-06-30,0.45
2002-07-31,0.42
2002-08-31,0.29
2002-09-30,0.355
2002-10-31,0.265
2002-11-30,0.3
2002-12-31,0.315
2003-01-31,0.265
2003-02-28,0.26
2003-03-31,0.245
2003-04-30,0.21
2003-05-31,0.16
2003-06-30,0.365
2003-07-31,0.325
2003-08-31,0.715
2003-09-30,0.685
2003-10-31,0.665
2003-11-30,0.6
2003-12-31,0.595
2004-01-31,0.535
2004-02-29,0.42
2004-03-31,0.655
2004-04-30,0.675
2004-05-31,0.645
2004-06-30,0.895
2004-07-31,0.865
2004-08-31,0.71
2004-09-30,0.649
2004-10-31,0.644
2004-11-30,0.609
2004-12-31,0.62
2005-01-31,0.554
2005-02-28,0.655
2005-03-31,0.565
2005-04-30,0.473
2005-05-31,0.473
2005-06-30,0.43
2005-07-31,0.557
2005-08-31,0.587
2005-09-30,0.818
2005-10-31,0.886
2005-11-30,0.777
2005-12-31,0.895
2006-01-31,0.95
2006-02-28,1.118
2006-03-31,1.337
2006-04-30,1.405
2006-05-31,1.356
2006-06-30,1.452
2006-07-31,1.437
2006-08-31,1.125
2006-09-30,1.163
2006-10-31,1.217
2006-11-30,1.219
2006-12-31,1.287
2007-01-31,1.224
2007-02-28,1.219
2007-03-31,1.223
2007-04-30,1.232
2007-05-31,1.373
2007-06-30,1.504
2007-07-31,1.412
2007-08-31,1.209
2007-09-30,1.233
2007-10-31,1.112
2007-11-30,1.049
2007-12-31,1.044
2008-01-31,0.932
2008-02-29,0.849
2008-03-31,0.762
2008-04-30,1.25
