DATE,BOJ_Balance_Sheet
2000-01-31,847.19102509514
2000-02-29,855.88424797284
2000-03-31,1029.6811505679
2000-04-30,743.06222132685
2000-05-31,780.84390315698
2000-06-30,795.48830613832
2000-07-31,739.00090542796
2000-08-31,832.04518823771
2000-09-30,787.86215714589
2000-10-31,843.70439866027
2000-11-30,949.16822740497
2000-12-31,929.4225935094
2001-01-31,929.11649897584
2001-02-28,939.85944182722
2001-03-31,917.94020852452
2001-04-30,909.09518386233
2001-05-31,955.59188577853
2001-06-30,941.05627385805
2001-07-31,932.19443145635
2001-08-31,955.73781403774
2001-09-30,968.34162865112
2001-10-31,907.12551953303
2001-11-30,916.75594377871
2001-12-31,897.94253320313
2002-01-31,921.73269226462
2002-02-28,979.00073533873
2002-03-31,1046.5235188497
2002-04-30,1034.3654500285
2002-05-31,1031.8949517353
2002-06-30,1047.45347998
2002-07-31,1054.3019655348
2002-08-31,1085.8074399427
2002-09-30,1025.5413467117
2002-10-31,1015.7638194608
2002-11-30,1021.4994026242
2002-12-31,1054.9075509283
2003-01-31,1042.8191515061
2003-02-28,1122.297638449
2003-03-31,1190.6013445381
2003-04-30,1074.0109213374
2003-05-31,1101.0738278716
2003-06-30,1042.3476030811
2003-07-31,1053.8874315486
2003-08-31,1101.8255843522
2003-09-30,1211.6044548021
2003-10-31,1212.9371055552
2003-11-30,1231.5308369771
2003-12-31,1228.5702777297
2004-01-31,1279.6926031528
2004-02-29,1286.8547389544
2004-03-31,1438.1699209557
2004-04-30,1252.5134383365
2004-05-31,1273.1429105657
2004-06-30,1236.9475130209
2004-07-31,1179.5716929493
2004-08-31,1258.2068295918
2004-09-30,1261.5837725055
2004-10-31,1304.5363080662
2004-11-30,1439.920363203
2004-12-31,1409.8607964035
2005-01-31,1423.2267087846
2005-02-28,1454.087572761
2005-03-31,1409.4960157893
2005-04-30,1401.3731547795
2005-05-31,1365.1397189509
2005-06-30,1301.8394401033
2005-07-31,1313.7628358328
2005-08-31,1357.1884232212
2005-09-30,1309.2477778444
2005-10-31,1272.1666852054
2005-11-30,1270.2671186018
2005-12-31,1321.5960799104
2006-01-31,1302.965001934
2006-02-28,1309.255276879
2006-03-31,1231.1617370275
2006-04-30,1137.2447495811
2006-05-31,1094.8633292592
2006-06-30,992.9031803652
2006-07-31,1015.3319657707
2006-08-31,966.7885127424
2006-09-30,995.67839954677
2006-10-31,977.71930513067
2006-11-30,1020.7753136974
2006-12-31,969.67387822009
2007-01-31,944.11984398037
2007-02-28,993.84127586053
2007-03-31,954.41349012149
2007-04-30,885.7647171077
2007-05-31,884.28635149721
2007-06-30,811.05536497248
2007-07-31,902.54800636047
2007-08-31,953.46954144008
2007-09-30,962.5976184707
2007-10-31,931.49438096393
2007-11-30,1007.0130691526
2007-12-31,993.28057265538
2008-01-31,1064.5274204195
2008-02-29,1096.4974201704
2008-03-31,1139.6677060534
2008-04-30,1024.6203691825
2008-05-31,1043.0280700576
2008-06-30,960.57636153925
2008-07-31,1000.8810396915
2008-08-31,1010.601014918
2008-09-30,1069.6471024909
2008-10-31,1192.3288178671
2008-11-30,1273.3936689116
2008-12-31,1354.5276864339
2009-01-31,1332.1316893601
2009-02-28,1253.5546693093
2009-03-31,1256.9257375553
2009-04-30,1169.2093289172
2009-05-31,1238.5773827252
2009-06-30,1145.6863268961
2009-07-31,1198.6418452015
2009-08-31,1256.5386213778
2009-09-30,1299.5682085733
2009-10-31,1224.3576480138
2009-11-30,1357.8976727987
2009-12-31,1325.6376126337
2010-01-31,1355.4625775577
2010-02-28,1422.6223773677
2010-03-31,1303.9522316142
