DATE,CPI_All_Items
2000-01-31,99.1601
2000-02-29,98.85467
2000-03-31,99.05828
2000-04-30,99.2619
2000-05-31,99.36371
2000-06-30,99.1601
2000-07-31,98.85467
2000-08-31,99.1601
2000-09-30,99.05828
2000-10-31,99.05828
2000-11-30,98.75286
2000-12-31,98.85467
2001-01-31,98.85467
2001-02-28,98.54925
2001-03-31,98.44744
2001-04-30,98.54925
2001-05-31,98.65105
2001-06-30,98.44744
2001-07-31,98.14202
2001-08-31,98.44744
2001-09-30,98.34563
2001-10-31,98.34563
2001-11-30,97.8366
2001-12-31,97.73479
2002-01-31,97.53118
2002-02-28,97.02214
2002-03-31,97.22575
2002-04-30,97.53118
2002-05-31,97.8366
2002-06-30,97.73479
2002-07-31,97.32757
2002-08-31,97.63299
2002-09-30,97.63299
2002-10-31,97.42937
2002-11-30,97.42937
2002-12-31,97.42937
2003-01-31,97.12395
2003-02-28,96.81853
2003-03-31,97.12395
2003-04-30,97.42937
2003-05-31,97.63299
2003-06-30,97.32757
2003-07-31,97.12395
2003-08-31,97.32757
2003-09-30,97.42937
2003-10-31,97.42937
2003-11-30,96.92033
2003-12-31,97.02214
2004-01-31,96.81853
2004-02-29,96.81853
2004-03-31,97.02214
2004-04-30,97.02214
2004-05-31,97.12395
2004-06-30,97.32757
2004-07-31,97.02214
2004-08-31,97.12395
2004-09-30,97.42937
2004-10-31,97.93841
2004-11-30,97.73479
2004-12-31,97.22575
2005-01-31,97.02214
2005-02-28,96.71672
2005-03-31,97.02214
2005-04-30,97.12395
2005-05-31,97.22575
2005-06-30,96.81853
2005-07-31,96.71672
2005-08-31,96.81853
2005-09-30,97.12395
2005-10-31,97.12395
2005-11-30,96.71672
2005-12-31,96.81853
2006-01-31,96.92033
2006-02-28,96.61491
2006-03-31,96.81853
2006-04-30,97.02214
2006-05-31,97.32757
2006-06-30,97.32757
2006-07-31,97.02214
2006-08-31,97.73479
2006-09-30,97.73479
2006-10-31,97.53118
2006-11-30,97.02214
2006-12-31,97.12395
2007-01-31,96.92033
2007-02-28,96.4113
2007-03-31,96.71672
2007-04-30,97.02214
2007-05-31,97.32757
2007-06-30,97.12395
2007-07-31,97.02214
2007-08-31,97.53118
2007-09-30,97.53118
2007-10-31,97.73479
2007-11-30,97.63299
2007-12-31,97.73479
2008-01-31,97.63299
2008-02-29,97.42937
2008-03-31,97.8366
2008-04-30,97.73479
2008-05-31,98.54925
2008-06-30,99.05828
2008-07-31,99.2619
2008-08-31,99.56732
2008-09-30,99.56732
2008-10-31,99.46552
2008-11-30,98.54925
2008-12-31,98.14202
2009-01-31,97.63299
2009-02-28,97.32757
2009-03-31,97.63299
2009-04-30,97.73479
2009-05-31,97.53118
2009-06-30,97.32757
2009-07-31,97.02214
2009-08-31,97.32757
2009-09-30,97.32757
2009-10-31,96.92033
2009-11-30,96.71672
2009-12-31,96.51311
2010-01-31,96.61491
2010-02-28,96.61491
2010-03-31,96.81853
2010-04-30,96.81853
2010-05-31,96.81853
2010-06-30,96.61491
2010-07-31,96.10588
2010-08-31,96.20769
2010-09-30,96.4113
2010-10-31,96.71672
2010-11-30,96.4113
2010-12-31,96.20769
2011-01-31,96.10588
2011-02-28,96.10588
2011-03-31,96.30949
2011-04-30,96.4113
2011-05-31,96.4113
2011-06-30,96.30949
2011-07-31,96.30949
2011-08-31,96.4113
2011-09-30,96.4113
2011-10-31,96.51311
2011-11-30,95.90227
2011-12-31,96.00407
2012-01-31,96.20769
2012-02-29,96.4113
2012-03-31,96.81853
2012-04-30,96.92033
2012-05-31,96.61491
2012-06-30,96.10588
2012-07-31,95.80046
2012-08-31,96.00407
2012-09-30,96.10588
2012-10-31,96.10588
2012-11-30,95.80046
2012-12-31,95.80046
2013-01-31,95.90227
2013-02-28,95.69865
2013-03-31,95.90227
2013-04-30,96.20769
2013-05-31,96.30949
2013-06-30,96.30949
2013-07-31,96.51311
2013-08-31,96.81853
2013-09-30,97.12395
2013-10-31,97.22575
2013-11-30,97.22575
2013-12-31,97.32757
2014-01-31,97.22575
2014-02-28,97.22575
2014-03-31,97.42937
2014-04-30,99.46552
2014-05-31,99.87274
2014-06-30,99.77094
2014-07-31,99.87274
2014-08-31,100.0764
2014-09-30,100.28
2014-10-31,99.97455
2014-11-30,99.66913
2014-12-31,99.66913
2015-01-31,99.56732
2015-02-28,99.36371
2015-03-31,99.66913
2015-04-30,100.1782
2015-05-31,100.4836
2015-06-30,100.1782
2015-07-31,100.0764
2015-08-31,100.1782
2015-09-30,100.28
2015-10-31,100.28
2015-11-30,99.87274
2015-12-31,99.87274
2016-01-31,99.46552
2016-02-29,99.56732
2016-03-31,99.66913
2016-04-30,99.87274
2016-05-31,99.97455
2016-06-30,99.87274
2016-07-31,99.66913
2016-08-31,99.66913
2016-09-30,99.77094
2016-10-31,100.3818
2016-11-30,100.3818
2016-12-31,100.1782
2017-01-31,99.97455
2017-02-28,99.87274
2017-03-31,99.87274
2017-04-30,100.28
2017-05-31,100.3818
2017-06-30,100.28
2017-07-31,100.0764
2017-08-31,100.28
2017-09-30,100.5854
2017-10-31,100.5854
2017-11-30,100.8908
2017-12-31,101.1962
2018-01-31,101.298
2018-02-28,101.298
2018-03-31,100.9926
2018-04-30,100.8908
2018-05-31,101.0944
2018-06-30,100.9926
2018-07-31,100.9926
2018-08-31,101.6035
2018-09-30,101.7053
2018-10-31,102.0107
2018-11-30,101.8071
2018-12-31,101.5017
2019-01-31,101.5017
2019-02-28,101.5017
2019-03-31,101.5017
2019-04-30,101.8071
2019-05-31,101.8071
2019-06-30,101.6035
2019-07-31,101.6035
2019-08-31,101.8071
2019-09-30,101.9089
2019-10-31,102.2143
2019-11-30,102.3161
2019-12-31,102.3161
2020-01-31,102.3161
2020-02-29,102.1125
2020-03-31,102.1125
2020-04-30,102.0107
2020-05-31,101.9089
2020-06-30,101.7053
2020-07-31,101.8071
2020-08-31,101.9089
2020-09-30,101.7053
2020-10-31,101.6035
2020-11-30,101.298
2020-12-31,101.0944
2021-01-31,101.6035
2021-02-28,101.6035
2021-03-31,101.7053
2021-04-30,100.8908
2021-05-31,101.1962
2021-06-30,101.298
2021-07-31,
2021-08-31,
2021-09-30,
2021-10-31,
2021-11-30,
2021-12-31,
2022-01-31,
2022-02-28,
2022-03-31,
2022-04-30,
2022-05-31,
2022-06-30,
2022-07-31,
2022-08-31,
2022-09-30,
2022-10-31,
2022-11-30,
2022-12-31,
2023-01-31,
2023-02-28,
2023-03-31,
2023-04-30,
2023-05-31,
2023-06-30,
2023-07-31,
2023-08-31,
2023-09-30,
2023-10-31,
2023-11-30,
2023-12-31,
