DATE,CPI_All_Items_BIS
2000-01-31,102.724556
2000-02-29,102.408156
2000-03-31,102.619089
2000-04-30,102.830023
2000-05-31,102.93549
2000-06-30,102.724556
2000-07-31,102.408156
2000-08-31,102.724556
2000-09-30,102.619089
2000-10-31,102.619089
2000-11-30,102.302689
2000-12-31,102.408156
2001-01-31,102.408156
2001-02-28,102.091756
2001-03-31,101.986289
2001-04-30,102.091756
2001-05-31,102.197223
2001-06-30,101.986289
2001-07-31,101.669889
2001-08-31,101.986289
2001-09-30,101.880823
2001-10-31,101.880823
2001-11-30,101.353489
2001-12-31,101.248023
2002-01-31,101.037089
2002-02-28,100.509756
2002-03-31,100.720689
2002-04-30,101.037089
2002-05-31,101.353489
2002-06-30,101.248023
2002-07-31,100.826156
2002-08-31,101.142556
2002-09-30,101.142556
2002-10-31,100.931622
2002-11-30,100.931622
2002-12-31,100.931622
2003-01-31,100.615222
2003-02-28,100.298822
2003-03-31,100.615222
2003-04-30,100.931622
2003-05-31,101.142556
2003-06-30,100.826156
2003-07-31,100.615222
2003-08-31,100.826156
2003-09-30,100.931622
2003-10-31,100.931622
2003-11-30,100.404289
2003-12-31,100.509756
2004-01-31,100.298822
2004-02-29,100.298822
2004-03-31,100.509756
2004-04-30,100.509756
2004-05-31,100.615222
2004-06-30,100.826156
2004-07-31,100.509756
2004-08-31,100.615222
2004-09-30,100.931622
2004-10-31,101.458956
2004-11-30,101.248023
2004-12-31,100.720689
2005-01-31,100.509756
2005-02-28,100.193356
2005-03-31,100.509756
2005-04-30,100.615222
2005-05-31,100.720689
2005-06-30,100.298822
2005-07-31,100.193356
2005-08-31,100.298822
2005-09-30,100.615222
2005-10-31,100.615222
2005-11-30,100.193356
2005-12-31,100.298822
2006-01-31,100.404289
2006-02-28,100.087889
2006-03-31,100.298822
2006-04-30,100.509756
2006-05-31,100.826156
2006-06-30,100.826156
2006-07-31,100.509756
2006-08-31,101.248023
2006-09-30,101.248023
2006-10-31,101.037089
2006-11-30,100.509756
2006-12-31,100.615222
2007-01-31,100.404289
2007-02-28,99.876956
2007-03-31,100.193356
2007-04-30,100.509756
2007-05-31,100.826156
2007-06-30,100.615222
2007-07-31,100.509756
2007-08-31,101.037089
2007-09-30,101.037089
2007-10-31,101.248023
2007-11-30,101.142556
2007-12-31,101.248023
2008-01-31,101.142556
2008-02-29,100.931622
2008-03-31,101.353489
2008-04-30,101.248023
2008-05-31,102.091756
2008-06-30,102.619089
