DATE,M2_Money_Supply
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,
2002-02-28,
2002-03-31,
2002-04-30,
2002-05-31,
2002-06-30,
2002-07-31,
2002-08-31,
2002-09-30,
2002-10-31,
2002-11-30,
2002-12-31,
2003-01-31,
2003-02-28,
2003-03-31,
2003-04-30,672697.0
2003-05-31,674636.9
2003-06-30,676614.1
2003-07-31,677510.9
2003-08-31,680236.9
2003-09-30,678958.1
2003-10-31,679561.6
2003-11-30,680034.9
2003-12-31,680291.9
2004-01-31,681738.4
2004-02-29,683355.8
2004-03-31,684335.3
2004-04-30,685324.6
2004-05-31,688106.0
2004-06-30,688505.8
2004-07-31,690156.4
2004-08-31,692902.8
2004-09-30,692122.3
2004-10-31,692884.0
2004-11-30,693375.7
2004-12-31,694133.6
2005-01-31,695098.6
2005-02-28,695730.8
2005-03-31,698198.1
2005-04-30,697519.5
2005-05-31,698371.6
2005-06-30,699620.3
2005-07-31,701733.8
2005-08-31,704065.9
2005-09-30,705681.8
2005-10-31,706163.4
2005-11-30,707190.5
2005-12-31,707269.3
2006-01-31,707244.8
2006-02-28,707432.2
2006-03-31,707708.3
2006-04-30,708595.2
2006-05-31,707661.0
2006-06-30,707108.2
2006-07-31,705551.7
2006-08-31,707177.9
2006-09-30,709315.6
2006-10-31,710055.2
2006-11-30,711337.7
2006-12-31,712339.4
2007-01-31,713576.1
2007-02-28,714289.1
2007-03-31,715358.6
2007-04-30,716732.2
2007-05-31,717991.7
2007-06-30,719454.7
2007-07-31,720106.7
2007-08-31,719585.4
2007-09-30,721573.4
2007-10-31,723460.6
2007-11-30,725685.0
2007-12-31,727502.3
2008-01-31,729013.0
2008-02-29,730911.2
2008-03-31,731590.9
2008-04-30,730226.2
2008-05-31,732670.6
2008-06-30,734974.2
2008-07-31,735453.9
2008-08-31,736723.1
2008-09-30,737259.8
2008-10-31,736394.9
2008-11-30,738792.3
2008-12-31,741154.1
2009-01-31,743675.0
2009-02-28,746639.2
2009-03-31,748268.2
2009-04-30,749697.7
2009-05-31,752019.4
2009-06-30,753145.2
2009-07-31,755393.5
2009-08-31,757298.4
2009-09-30,759116.7
2009-10-31,761016.6
2009-11-30,762997.0
2009-12-31,764215.9
2010-01-31,766263.8
2010-02-28,767506.6
2010-03-31,768551.5
2010-04-30,771073.3
2010-05-31,775183.2
2010-06-30,774778.7
2010-07-31,775914.4
2010-08-31,778405.2
2010-09-30,780137.3
2010-10-31,781836.5
2010-11-30,782405.5
2010-12-31,782137.5
2011-01-31,784212.9
2011-02-28,786273.1
2011-03-31,788510.6
2011-04-30,791863.7
2011-05-31,796006.2
2011-06-30,796629.0
2011-07-31,798691.4
2011-08-31,799512.5
2011-09-30,801512.4
2011-10-31,803721.6
2011-11-30,805659.6
2011-12-31,806484.0
2012-01-31,808097.2
2012-02-29,809363.6
2012-03-31,811588.0
2012-04-30,812564.3
2012-05-31,813453.6
2012-06-30,814575.9
2012-07-31,817126.2
2012-08-31,819328.2
2012-09-30,821123.5
2012-10-31,822064.4
2012-11-30,822299.6
2012-12-31,826646.2
2013-01-31,829442.8
2013-02-28,832677.7
2013-03-31,836219.6
2013-04-30,838680.5
2013-05-31,841644.9
2013-06-30,845637.2
2013-07-31,847997.3
2013-08-31,850541.5
2013-09-30,853134.6
2013-10-31,855975.3
2013-11-30,857567.8
2013-12-31,861027.8
2014-01-31,864772.0
2014-02-28,865351.7
2014-03-31,866272.0
2014-04-30,868104.5
2014-05-31,868853.1
2014-06-30,871524.9
2014-07-31,873526.0
2014-08-31,876021.5
2014-09-30,879382.0
2014-10-31,882778.1
2014-11-30,887359.3
2014-12-31,890910.6
2015-01-31,893113.7
2015-02-28,895243.8
2015-03-31,897828.0
2015-04-30,899816.9
2015-05-31,903614.0
2015-06-30,905293.0
2015-07-31,908126.6
2015-08-31,912067.3
2015-09-30,912484.0
2015-10-31,914345.4
2015-11-30,916036.9
2015-12-31,918330.3
2016-01-31,921035.2
2016-02-29,923156.0
2016-03-31,925749.0
2016-04-30,929795.9
2016-05-31,932915.3
2016-06-30,935698.6
2016-07-31,938212.5
2016-08-31,940706.3
2016-09-30,943292.5
2016-10-31,946407.7
2016-11-30,950430.5
2016-12-31,954226.2
2017-01-31,957800.7
2017-02-28,961650.5
2017-03-31,964807.7
2017-04-30,966566.0
2017-05-31,967943.0
2017-06-30,972342.4
2017-07-31,975556.7
2017-08-31,978061.1
2017-09-30,980849.6
2017-10-31,984334.4
2017-11-30,988164.6
2017-12-31,988849.4
2018-01-31,991151.8
2018-02-28,993009.4
2018-03-31,995023.2
2018-04-30,997197.8
2018-05-31,998267.1
2018-06-30,1002184.5
2018-07-31,1003940.0
2018-08-31,1005622.0
2018-09-30,1007916.6
2018-10-31,1010183.6
2018-11-30,1010983.2
2018-12-31,1013127.7
2019-01-31,1015155.2
2019-02-28,1017080.5
2019-03-31,1019185.2
2019-04-30,1020947.0
2019-05-31,1023209.2
2019-06-30,1024048.5
2019-07-31,1025877.3
2019-08-31,1027754.7
2019-09-30,1030393.3
2019-10-31,1033016.5
2019-11-30,1037007.0
2019-12-31,1040030.7
2020-01-31,1042940.4
2020-02-29,1046608.2
2020-03-31,1051702.9
2020-04-30,1057977.0
2020-05-31,1075288.4
2020-06-30,1097822.3
2020-07-31,1106477.3
2020-08-31,1115353.0
2020-09-30,1122597.2
2020-10-31,1126163.0
2020-11-30,1131284.3
2020-12-31,1136495.0
2021-01-31,1142375.6
2021-02-28,1147717.5
2021-03-31,1151957.0
2021-04-30,1155710.4
2021-05-31,1160827.1
2021-06-30,1162296.9
2021-07-31,1164480.8
2021-08-31,1166770.2
2021-09-30,1169876.7
2021-10-31,1173802.1
2021-11-30,1176559.7
2021-12-31,1179513.8
2022-01-31,1184459.8
2022-02-28,1188747.9
2022-03-31,1192019.0
2022-04-30,1195126.4
2022-05-31,1197187.9
2022-06-30,1200307.4
2022-07-31,1203622.7
2022-08-31,1206194.0
2022-09-30,1208352.8
2022-10-31,1210088.3
2022-11-30,1213508.0
2022-12-31,1214757.4
2023-01-31,1216862.8
2023-02-28,1219487.1
2023-03-31,1222402.0
2023-04-30,1225640.3
2023-05-31,1228472.2
2023-06-30,1231211.5
2023-07-31,1233307.4
2023-08-31,1235601.6
2023-09-30,1237234.0
2023-10-31,1239217.8
2023-11-30,1241074.9
2023-12-31,1243150.0
