DATE,M2_Money_Supply_FRED
2000-01-31,623791.7
2000-02-29,623599.7
2000-03-31,624794.3
2000-04-30,628892.6
2000-05-31,627928.2
2000-06-30,628445.4
2000-07-31,629479.1
2000-08-31,630006.2
2000-09-30,631221.4
2000-10-31,633586.0
2000-11-30,633784.7
2000-12-31,635905.8
2001-01-31,637630.3
2001-02-28,639548.4
2001-03-31,640592.5
2001-04-30,643277.6
2001-05-31,644624.0
2001-06-30,646253.9
2001-07-31,647863.2
2001-08-31,648700.9
2001-09-30,650808.2
2001-10-31,651700.2
2001-11-30,652752.6
2001-12-31,657681.9
2002-01-31,660284.4
2002-02-28,662055.4
2002-03-31,664371.0
2002-04-30,666202.4
2002-05-31,667117.6
2002-06-30,668097.8
2002-07-31,668993.2
2002-08-31,670646.7
2002-09-30,671129.5
2002-10-31,672843.2
2002-11-30,673356.3
2002-12-31,672766.8
2003-01-31,673713.3
2003-02-28,674891.8
2003-03-31,675592.0
2003-04-30,672662.8
2003-05-31,674620.2
2003-06-30,676601.0
2003-07-31,677502.2
2003-08-31,680230.7
2003-09-30,678956.3
2003-10-31,679563.7
2003-11-30,680041.0
2003-12-31,680286.7
2004-01-31,681748.7
2004-02-29,683369.1
2004-03-31,684390.2
2004-04-30,685289.2
2004-05-31,688092.7
2004-06-30,688493.0
2004-07-31,690147.5
2004-08-31,692896.3
2004-09-30,692121.9
2004-10-31,692885.8
2004-11-30,693380.2
2004-12-31,694130.9
2005-01-31,695103.0
2005-02-28,695733.8
2005-03-31,698258.3
2005-04-30,697487.7
2005-05-31,698360.0
2005-06-30,699609.6
2005-07-31,701726.2
2005-08-31,704059.7
2005-09-30,705682.3
2005-10-31,706166.9
2005-11-30,707194.3
2005-12-31,707270.4
2006-01-31,707248.4
2006-02-28,707432.4
2006-03-31,707741.4
2006-04-30,708574.3
2006-05-31,707658.4
2006-06-30,707096.3
2006-07-31,705547.4
2006-08-31,707174.5
2006-09-30,709316.8
2006-10-31,710062.1
2006-11-30,711341.4
2006-12-31,712343.0
2007-01-31,713579.1
2007-02-28,714287.3
2007-03-31,715368.4
2007-04-30,716718.1
2007-05-31,717993.3
2007-06-30,719441.1
2007-07-31,720107.3
2007-08-31,719585.8
2007-09-30,721575.9
2007-10-31,723472.5
2007-11-30,725689.0
2007-12-31,727505.6
2008-01-31,729017.8
2008-02-29,730911.5
2008-03-31,731568.4
2008-04-30,730218.8
2008-05-31,732683.4
2008-06-30,734958.0
2008-07-31,735459.1
2008-08-31,736727.7
2008-09-30,737264.1
2008-10-31,736410.4
2008-11-30,738797.3
