DATE,10Y_Yield
2000-01-31,6.66
2000-02-29,6.52
2000-03-31,6.26
2000-04-30,5.99
2000-05-31,6.44
2000-06-30,6.1
2000-07-31,6.05
2000-08-31,5.83
2000-09-30,5.8
2000-10-31,5.74
2000-11-30,5.72
2000-12-31,5.24
2001-01-31,5.16
2001-02-28,5.1
2001-03-31,4.89
2001-04-30,5.14
2001-05-31,5.39
2001-06-30,5.28
2001-07-31,5.24
2001-08-31,4.97
2001-09-30,4.73
2001-10-31,4.57
2001-11-30,4.65
2001-12-31,5.09
2002-01-31,5.04
2002-02-28,4.91
2002-03-31,5.28
2002-04-30,5.21
2002-05-31,5.16
2002-06-30,4.93
2002-07-31,4.65
2002-08-31,4.26
2002-09-30,3.87
2002-10-31,3.94
2002-11-30,4.05
2002-12-31,4.03
2003-01-31,4.05
2003-02-28,3.9
2003-03-31,3.81
2003-04-30,3.96
2003-05-31,3.57
2003-06-30,3.33
2003-07-31,3.98
2003-08-31,4.45
2003-09-30,4.27
2003-10-31,4.29
2003-11-30,4.3
2003-12-31,4.27
2004-01-31,4.15
2004-02-29,4.08
2004-03-31,3.83
2004-04-30,4.35
2004-05-31,4.72
2004-06-30,4.73
2004-07-31,4.5
2004-08-31,4.28
2004-09-30,4.13
2004-10-31,4.1
2004-11-30,4.19
2004-12-31,4.23
2005-01-31,4.22
2005-02-28,4.17
2005-03-31,4.5
2005-04-30,4.34
2005-05-31,4.14
2005-06-30,4.0
2005-07-31,4.18
2005-08-31,4.26
2005-09-30,4.2
2005-10-31,4.46
2005-11-30,4.54
2005-12-31,4.47
2006-01-31,4.42
2006-02-28,4.57
2006-03-31,4.72
2006-04-30,4.99
2006-05-31,5.11
2006-06-30,5.11
2006-07-31,5.09
2006-08-31,4.88
2006-09-30,4.72
2006-10-31,4.73
2006-11-30,4.6
2006-12-31,4.56
2007-01-31,4.76
2007-02-28,4.72
2007-03-31,4.56
2007-04-30,4.69
2007-05-31,4.75
2007-06-30,5.1
2007-07-31,5.0
2007-08-31,4.67
2007-09-30,4.52
2007-10-31,4.53
2007-11-30,4.15
2007-12-31,4.1
2008-01-31,3.74
2008-02-29,3.74
2008-03-31,3.51
2008-04-30,3.68
2008-05-31,3.88
2008-06-30,4.1
2008-07-31,4.01
2008-08-31,3.89
2008-09-30,3.69
2008-10-31,3.81
2008-11-30,3.53
2008-12-31,2.42
2009-01-31,2.52
2009-02-28,2.87
2009-03-31,2.82
2009-04-30,2.93
2009-05-31,3.29
2009-06-30,3.72
2009-07-31,3.56
2009-08-31,3.59
2009-09-30,3.4
2009-10-31,3.39
2009-11-30,3.4
2009-12-31,3.59
2010-01-31,3.73
2010-02-28,3.69
2010-03-31,3.73
2010-04-30,3.85
2010-05-31,3.42
2010-06-30,3.2
2010-07-31,3.01
2010-08-31,2.7
2010-09-30,2.65
2010-10-31,2.54
2010-11-30,2.76
2010-12-31,3.29
2011-01-31,3.39
2011-02-28,3.58
2011-03-31,3.41
2011-04-30,3.46
2011-05-31,3.17
2011-06-30,3.0
2011-07-31,3.0
2011-08-31,2.3
2011-09-30,1.98
2011-10-31,2.15
2011-11-30,2.01
2011-12-31,1.98
2012-01-31,1.97
2012-02-29,1.97
2012-03-31,2.17
2012-04-30,2.05
2012-05-31,1.8
2012-06-30,1.62
2012-07-31,1.53
2012-08-31,1.68
2012-09-30,1.72
2012-10-31,1.75
2012-11-30,1.65
2012-12-31,1.72
2013-01-31,1.91
2013-02-28,1.98
2013-03-31,1.96
2013-04-30,1.76
2013-05-31,1.93
2013-06-30,2.3
2013-07-31,2.58
2013-08-31,2.74
2013-09-30,2.81
2013-10-31,2.62
2013-11-30,2.72
2013-12-31,2.9
2014-01-31,2.86
2014-02-28,2.71
2014-03-31,2.72
2014-04-30,2.71
2014-05-31,2.56
2014-06-30,2.6
2014-07-31,2.54
2014-08-31,2.42
2014-09-30,2.53
2014-10-31,2.3
2014-11-30,2.33
2014-12-31,2.21
2015-01-31,1.88
2015-02-28,1.98
2015-03-31,2.04
2015-04-30,1.94
2015-05-31,2.2
2015-06-30,2.36
2015-07-31,2.32
2015-08-31,2.17
2015-09-30,2.17
2015-10-31,2.07
2015-11-30,2.26
2015-12-31,2.24
2016-01-31,2.09
2016-02-29,1.78
2016-03-31,1.89
2016-04-30,1.81
2016-05-31,1.81
2016-06-30,1.64
2016-07-31,1.5
2016-08-31,1.56
2016-09-30,1.63
2016-10-31,1.76
2016-11-30,2.14
2016-12-31,2.49
2017-01-31,2.43
2017-02-28,2.42
2017-03-31,2.48
2017-04-30,2.3
2017-05-31,2.3
2017-06-30,2.19
2017-07-31,2.32
2017-08-31,2.21
2017-09-30,2.2
2017-10-31,2.36
2017-11-30,2.35
2017-12-31,2.4
2018-01-31,2.58
2018-02-28,2.86
2018-03-31,2.84
2018-04-30,2.87
2018-05-31,2.98
2018-06-30,2.91
2018-07-31,2.89
2018-08-31,2.89
2018-09-30,3.0
2018-10-31,3.15
2018-11-30,3.12
2018-12-31,2.83
2019-01-31,2.71
2019-02-28,2.68
2019-03-31,2.57
2019-04-30,2.53
2019-05-31,2.4
2019-06-30,2.07
2019-07-31,2.06
2019-08-31,1.63
2019-09-30,1.7
2019-10-31,1.71
2019-11-30,1.81
2019-12-31,1.86
2020-01-31,1.76
2020-02-29,1.5
2020-03-31,0.87
2020-04-30,0.66
2020-05-31,0.67
2020-06-30,0.73
2020-07-31,0.62
2020-08-31,0.65
2020-09-30,0.68
2020-10-31,0.79
2020-11-30,0.87
2020-12-31,0.93
2021-01-31,1.08
2021-02-28,1.26
2021-03-31,1.61
2021-04-30,1.64
2021-05-31,1.62
2021-06-30,1.52
2021-07-31,1.32
2021-08-31,1.28
2021-09-30,1.37
2021-10-31,1.58
2021-11-30,1.56
2021-12-31,1.47
2022-01-31,1.76
2022-02-28,1.93
2022-03-31,2.13
2022-04-30,2.75
2022-05-31,2.9
2022-06-30,3.14
2022-07-31,2.9
2022-08-31,2.9
2022-09-30,3.52
2022-10-31,3.98
2022-11-30,3.89
2022-12-31,3.62
2023-01-31,3.53
2023-02-28,3.75
2023-03-31,3.66
2023-04-30,3.46
2023-05-31,3.57
2023-06-30,3.75
2023-07-31,3.9
2023-08-31,4.17
2023-09-30,4.38
2023-10-31,4.8
2023-11-30,4.5
2023-12-31,4.02
