DATE,BIS_Balance_Sheet
2000-01-31,595.140415283
2000-02-29,588.664560384
2000-03-31,579.453907347
2000-04-30,608.138864815
2000-05-31,594.89577261
2000-06-30,589.558567904
2000-07-31,584.639523862
2000-08-31,582.758767172
2000-09-30,583.122853997
2000-10-31,582.453936733
2000-11-30,597.282485174
2000-12-31,619.723887818
2001-01-31,596.07198606
2001-02-28,601.086425511
2001-03-31,598.010476386
2001-04-30,603.250333484
2001-05-31,632.093729087
2001-06-30,613.887484989
2001-07-31,630.973290104
2001-08-31,625.16036606
2001-09-30,638.318219395
2001-10-31,649.682494649
2001-11-30,648.787223693
2001-12-31,662.945477185
2002-01-31,657.668664275
2002-02-28,658.102736782
2002-03-31,659.092443937
2002-04-30,663.456947302
2002-05-31,697.224734975
2002-06-30,687.159591416
2002-07-31,680.546008297
2002-08-31,679.262656956
2002-09-30,681.578481921
2002-10-31,692.546505843
2002-11-30,697.940930785
2002-12-31,732.059222043
2003-01-31,712.80853293
2003-02-28,721.98035177
2003-03-31,725.019055518
2003-04-30,746.293867352
2003-05-31,744.895759292
2003-06-30,744.018200798
2003-07-31,740.294968546
2003-08-31,740.637097709
2003-09-30,741.192966933
2003-10-31,747.271765291
2003-11-30,756.964042503
2003-12-31,771.550716929
2004-01-31,755.278794981
2004-02-29,750.666175862
2004-03-31,760.725432477
2004-04-30,772.927499786
2004-05-31,771.107674363
2004-06-30,779.577875597
2004-07-31,773.916365812
2004-08-31,775.437137913
2004-09-30,786.329724904
2004-10-31,791.336201209
2004-11-30,809.956368694
2004-12-31,810.944416398
2005-01-31,807.261812838
2005-02-28,804.576046166
2005-03-31,807.551459892
2005-04-30,809.796759044
2005-05-31,810.160281174
2005-06-30,810.081510234
2005-07-31,814.258546472
2005-08-31,823.236946213
2005-09-30,823.771126055
2005-10-31,819.10497608
2005-11-30,835.059305883
2005-12-31,847.700317495
2006-01-31,828.901465183
2006-02-28,840.555317977
2006-03-31,833.675446191
2006-04-30,844.571939687
2006-05-31,851.580205862
2006-06-30,844.436305294
2006-07-31,841.551654371
2006-08-31,850.924569415
2006-09-30,849.971369099
2006-10-31,852.648255976
2006-11-30,856.670912018
2006-12-31,869.987636937
2007-01-31,865.730007844
2007-02-28,877.409426617
2007-03-31,869.803397355
2007-04-30,879.685663004
2007-05-31,876.985590057
2007-06-30,865.105327844
2007-07-31,863.889725945
2007-08-31,872.872821362
2007-09-30,889.899753235
2007-10-31,883.384761428
2007-11-30,879.416884466
2007-12-31,890.662142938
2008-01-31,900.263808683
2008-02-29,893.825241787
2008-03-31,893.965140181
2008-04-30,888.130820742
2008-05-31,904.054144776
2008-06-30,892.712990543
2008-07-31,918.625377401
2008-08-31,909.981929815
2008-09-30,1211.82508312
2008-10-31,1969.08592458
2008-11-30,2106.11695277
2008-12-31,2239.45691467
2009-01-31,1927.08240248
2009-02-28,1916.11544407
2009-03-31,2071.55551558
2009-04-30,2066.71157764
2009-05-31,2080.1151212
2009-06-30,2025.57102351
2009-07-31,2000.54717205
2009-08-31,2074.90150494
