DATE,Fed_Balance_Sheet
2002-12-31,732.059
2003-01-31,712.809
2003-02-28,721.98
2003-03-31,725.019
2003-04-30,746.294
2003-05-31,744.896
2003-06-30,744.018
2003-07-31,740.295
2003-08-31,740.637
2003-09-30,741.193
2003-10-31,747.272
2003-11-30,756.964
2003-12-31,771.551
2004-01-31,755.279
2004-02-29,750.666
2004-03-31,760.725
2004-04-30,772.927
2004-05-31,771.108
2004-06-30,779.578
2004-07-31,773.916
2004-08-31,775.437
2004-09-30,786.33
2004-10-31,791.336
2004-11-30,809.956
2004-12-31,810.944
2005-01-31,807.262
2005-02-28,804.576
2005-03-31,807.551
2005-04-30,809.797
2005-05-31,810.16
2005-06-30,810.082
2005-07-31,814.259
2005-08-31,823.237
2005-09-30,823.771
2005-10-31,819.105
2005-11-30,835.059
2005-12-31,847.7
2006-01-31,828.901
2006-02-28,840.555
2006-03-31,833.675
2006-04-30,844.572
2006-05-31,851.58
2006-06-30,844.436
2006-07-31,841.552
2006-08-31,850.925
2006-09-30,849.971
2006-10-31,852.648
2006-11-30,856.671
2006-12-31,869.988
2007-01-31,865.73
2007-02-28,877.409
2007-03-31,869.803
2007-04-30,879.686
2007-05-31,876.986
2007-06-30,865.105
2007-07-31,863.89
2007-08-31,872.873
2007-09-30,889.9
2007-10-31,883.385
2007-11-30,879.417
2007-12-31,890.662
2008-01-31,900.264
2008-02-29,893.825
2008-03-31,893.965
2008-04-30,888.131
2008-05-31,904.054
2008-06-30,892.713
2008-07-31,918.625
2008-08-31,909.982
2008-09-30,1211.825
2008-10-31,1969.086
2008-11-30,2106.117
2008-12-31,2239.457
2009-01-31,1927.082
2009-02-28,1916.115
2009-03-31,2071.556
2009-04-30,2066.712
2009-05-31,2080.115
2009-06-30,2025.571
2009-07-31,2000.547
2009-08-31,2074.902
2009-09-30,2141.02
2009-10-31,2161.537
2009-11-30,2206.359
2009-12-31,2234.067
2010-01-31,2246.886
2010-02-28,2286.127
2010-03-31,2307.15
2010-04-30,2330.472
2010-05-31,2334.041
2010-06-30,2330.851
2010-07-31,2325.298
2010-08-31,2301.015
2010-09-30,2298.691
2010-10-31,2295.392
2010-11-30,2346.001
2010-12-31,2420.57
2011-01-31,2443.527
2011-02-28,2533.221
2011-03-31,2622.523
2011-04-30,2690.985
2011-05-31,2774.996
2011-06-30,2865.251
2011-07-31,2863.576
2011-08-31,2853.888
2011-09-30,2850.921
2011-10-31,2845.685
2011-11-30,2814.235
2011-12-31,2926.095
2012-01-31,2919.545
2012-02-29,2925.722
2012-03-31,2878.137
2012-04-30,2866.561
2012-05-31,2842.654
2012-06-30,2863.547
2012-07-31,2846.757
2012-08-31,2812.806
2012-09-30,2804.457
2012-10-31,2823.137
2012-11-30,2851.362
2012-12-31,2907.3
2013-01-31,3008.704
2013-02-28,3090.6
2013-03-31,3202.256
2013-04-30,3318.649
2013-05-31,3385.128
2013-06-30,3478.672
2013-07-31,3571.797
2013-08-31,3644.456
2013-09-30,3734.018
2013-10-31,3843.396
2013-11-30,3925.876
2013-12-31,4032.575
2014-01-31,4102.138
2014-02-28,4159.972
2014-03-31,4226.971
2014-04-30,4296.049
2014-05-31,4322.654
2014-06-30,4368.348
2014-07-31,4406.637
2014-08-31,4413.736
2014-09-30,4459.05
2014-10-31,4486.754
2014-11-30,4485.931
2014-12-31,4497.66
2015-01-31,4500.064
2015-02-28,4486.725
2015-03-31,4480.603
2015-04-30,4471.499
2015-05-31,4463.981
2015-06-30,4495.055
2015-07-31,4485.48
2015-08-31,4475.105
2015-09-30,4484.111
2015-10-31,4489.339
2015-11-30,4477.088
2015-12-31,4486.587
2016-01-31,4482.349
2016-02-29,4489.796
2016-03-31,4482.84
2016-04-30,4474.665
2016-05-31,4461.111
2016-06-30,4466.482
2016-07-31,4464.498
2016-08-31,4457.907
2016-09-30,4452.002
2016-10-31,4454.326
2016-11-30,4446.307
2016-12-31,4451.451
2017-01-31,4452.838
2017-02-28,4468.702
2017-03-31,4469.618
2017-04-30,4470.142
2017-05-31,4459.914
2017-06-30,4463.347
2017-07-31,4465.284
2017-08-31,4452.36
2017-09-30,4455.661
2017-10-31,4461.117
2017-11-30,4438.592
2017-12-31,4448.68
2018-01-31,4419.225
2018-02-28,4393.401
2018-03-31,4392.198
2018-04-30,4372.886
2018-05-31,4327.519
2018-06-30,4305.491
2018-07-31,4277.681
2018-08-31,4218.914
2018-09-30,4192.909
2018-10-31,4139.731
2018-11-30,4097.17
2018-12-31,4075.636
2019-01-31,4039.678
2019-02-28,3974.59
2019-03-31,3955.617
2019-04-30,3928.273
2019-05-31,3851.444
2019-06-30,3826.817
2019-07-31,3779.102
2019-08-31,3759.946
2019-09-30,3857.715
2019-10-31,4019.823
2019-11-30,4052.875
2019-12-31,4165.591
2020-01-31,4151.63
2020-02-29,4158.637
2020-03-31,5254.278
2020-04-30,6655.929
2020-05-31,7097.316
2020-06-30,7082.302
2020-07-31,6949.032
2020-08-31,6990.418
2020-09-30,7056.129
2020-10-31,7146.306
2020-11-30,7216.48
2020-12-31,7363.351
2021-01-31,7404.926
2021-02-28,7590.111
2021-03-31,7688.988
2021-04-30,7780.962
2021-05-31,7903.541
2021-06-30,8078.544
2021-07-31,8221.473
2021-08-31,8332.743
2021-09-30,8447.981
2021-10-31,8556.181
2021-11-30,8681.771
2021-12-31,8757.46
2022-01-31,8860.485
2022-02-28,8928.129
2022-03-31,8937.142
2022-04-30,8939.199
2022-05-31,8914.281
2022-06-30,8913.553
2022-07-31,8890.004
2022-08-31,8826.093
2022-09-30,8795.567
2022-10-31,8723.09
2022-11-30,8584.576
2022-12-31,8551.169
2023-01-31,8470.557
2023-02-28,8382.19
2023-03-31,8705.942
2023-04-30,8562.768
2023-05-31,8385.854
2023-06-30,8340.914
2023-07-31,8243.344
2023-08-31,8121.316
2023-09-30,8002.064
2023-10-31,7907.83
2023-11-30,7796.145
2023-12-31,7712.781
