DATE,M2_Money_Supply
2000-01-31,4667.6
2000-02-29,4680.9
2000-03-31,4711.7
2000-04-30,4767.8
2000-05-31,4755.7
2000-06-30,4773.6
2000-07-31,4791.3
2000-08-31,4819.5
2000-09-30,4855.3
2000-10-31,4871.4
2000-11-30,4882.8
2000-12-31,4927.7
2001-01-31,4978.4
2001-02-28,5017.1
2001-03-31,5074.9
2001-04-30,5139.2
2001-05-31,5137.3
2001-06-30,5180.3
2001-07-31,5210.2
2001-08-31,5243.9
2001-09-30,5355.3
2001-10-31,5344.0
2001-11-30,5387.7
2001-12-31,5440.7
2002-01-31,5461.1
2002-02-28,5490.4
2002-03-31,5502.2
2002-04-30,5502.3
2002-05-31,5528.5
2002-06-30,5553.5
2002-07-31,5596.2
2002-08-31,5638.4
2002-09-30,5662.5
2002-10-31,5707.2
2002-11-30,5758.2
2002-12-31,5779.5
2003-01-31,5812.3
2003-02-28,5848.4
2003-03-31,5868.6
2003-04-30,5905.7
2003-05-31,5965.5
2003-06-30,6002.4
2003-07-31,6049.4
2003-08-31,6107.3
2003-09-30,6079.9
2003-10-31,6070.2
2003-11-30,6075.7
2003-12-31,6074.0
2004-01-31,6082.2
2004-02-29,6121.9
2004-03-31,6158.0
2004-04-30,6199.1
2004-05-31,6275.9
2004-06-30,6278.1
2004-07-31,6291.3
2004-08-31,6317.9
2004-09-30,6352.3
2004-10-31,6379.9
2004-11-30,6406.5
2004-12-31,6424.7
2005-01-31,6431.0
2005-02-28,6439.1
2005-03-31,6448.4
2005-04-30,6462.0
2005-05-31,6479.2
2005-06-30,6511.8
2005-07-31,6543.7
2005-08-31,6576.5
2005-09-30,6610.3
2005-10-31,6644.1
2005-11-30,6660.8
2005-12-31,6688.0
2006-01-31,6730.3
2006-02-28,6754.9
2006-03-31,6769.5
2006-04-30,6807.0
2006-05-31,6813.9
2006-06-30,6852.1
2006-07-31,6893.9
2006-08-31,6925.3
2006-09-30,6952.6
2006-10-31,7002.0
2006-11-30,7037.5
2006-12-31,7080.4
2007-01-31,7118.5
2007-02-28,7134.6
2007-03-31,7168.5
2007-04-30,7241.0
2007-05-31,7254.9
2007-06-30,7288.1
2007-07-31,7319.0
2007-08-31,7395.1
2007-09-30,7413.3
2007-10-31,7428.4
2007-11-30,7453.8
2007-12-31,7484.2
2008-01-31,7517.8
2008-02-29,7604.2
2008-03-31,7670.3
2008-04-30,7712.8
2008-05-31,7725.5
2008-06-30,7744.2
2008-07-31,7791.5
2008-08-31,7806.1
2008-09-30,7872.7
2008-10-31,7975.3
2008-11-30,8027.3
2008-12-31,8205.0
2009-01-31,8289.4
2009-02-28,8319.6
2009-03-31,8386.7
2009-04-30,8391.4
2009-05-31,8449.5
2009-06-30,8459.5
2009-07-31,8463.8
2009-08-31,8463.3
2009-09-30,8461.8
2009-10-31,8488.1
2009-11-30,8517.3
2009-12-31,8512.5
2010-01-31,8478.0
2010-02-28,8527.6
2010-03-31,8523.7
2010-04-30,8555.1
2010-05-31,8609.3
2010-06-30,8628.4
2010-07-31,8639.8
2010-08-31,8688.2
2010-09-30,8718.9
2010-10-31,8768.7
2010-11-30,8789.3
2010-12-31,8822.9
2011-01-31,8845.2
2011-02-28,8909.0
2011-03-31,8967.0
2011-04-30,9030.4
2011-05-31,9102.7
2011-06-30,9176.7
2011-07-31,9338.7
2011-08-31,9525.1
2011-09-30,9545.3
2011-10-31,9578.1
2011-11-30,9629.8
2011-12-31,9677.4
2012-01-31,9750.5
2012-02-29,9802.2
2012-03-31,9846.2
2012-04-30,9899.8
2012-05-31,9943.0
2012-06-30,10013.0
2012-07-31,10065.7
2012-08-31,10136.4
2012-09-30,10216.6
2012-10-31,10282.8
2012-11-30,10351.8
2012-12-31,10474.4
2013-01-31,10497.6
2013-02-28,10516.6
2013-03-31,10572.9
2013-04-30,10600.4
2013-05-31,10634.7
2013-06-30,10692.3
2013-07-31,10731.5
2013-08-31,10789.6
2013-09-30,10850.0
2013-10-31,10974.2
2013-11-30,10982.9
2013-12-31,11047.8
2014-01-31,11117.6
2014-02-28,11183.2
2014-03-31,11219.1
2014-04-30,11264.0
2014-05-31,11328.5
2014-06-30,11383.7
2014-07-31,11438.4
2014-08-31,11462.5
2014-09-30,11503.7
2014-10-31,11577.5
2014-11-30,11618.2
2014-12-31,11701.9
2015-01-31,11788.8
2015-02-28,11905.6
2015-03-31,11903.7
2015-04-30,11937.6
2015-05-31,11965.0
2015-06-30,12005.6
2015-07-31,12049.2
2015-08-31,12093.7
2015-09-30,12154.8
2015-10-31,12206.1
2015-11-30,12297.5
2015-12-31,12368.7
2016-01-31,12506.0
2016-02-29,12578.2
2016-03-31,12629.0
2016-04-30,12708.0
2016-05-31,12775.0
2016-06-30,12835.4
2016-07-31,12889.7
2016-08-31,12973.9
2016-09-30,13034.2
2016-10-31,13107.5
2016-11-30,13181.0
2016-12-31,13226.1
2017-01-31,13300.7
2017-02-28,13367.3
2017-03-31,13428.7
2017-04-30,13484.7
2017-05-31,13536.7
2017-06-30,13558.5
2017-07-31,13615.4
2017-08-31,13674.6
2017-09-30,13723.0
2017-10-31,13782.3
2017-11-30,13814.9
2017-12-31,13873.8
2018-01-31,13883.2
2018-02-28,13919.3
2018-03-31,13976.0
2018-04-30,13993.9
2018-05-31,14049.6
2018-06-30,14109.9
2018-07-31,14144.2
2018-08-31,14193.9
2018-09-30,14229.3
2018-10-31,14241.4
2018-11-30,14260.8
2018-12-31,14382.6
2019-01-31,14446.1
2019-02-28,14481.2
2019-03-31,14526.2
2019-04-30,14554.5
2019-05-31,14652.4
2019-06-30,14771.4
2019-07-31,14853.5
2019-08-31,14934.7
2019-09-30,15031.4
2019-10-31,15167.3
2019-11-30,15276.9
2019-12-31,15348.0
2020-01-31,15416.8
2020-02-29,15467.0
2020-03-31,15993.8
2020-04-30,17005.8
2020-05-31,17853.4
2020-06-30,18141.1
2020-07-31,18298.0
2020-08-31,18364.3
2020-09-30,18596.6
2020-10-31,18751.3
2020-11-30,18979.1
2020-12-31,19133.2
2021-01-31,19359.7
2021-02-28,19596.7
2021-03-31,19823.4
2021-04-30,20160.7
2021-05-31,20426.9
2021-06-30,20474.7
2021-07-31,20628.7
2021-08-31,20811.0
2021-09-30,20978.6
2021-10-31,21142.9
2021-11-30,21316.7
2021-12-31,21470.9
2022-01-31,21585.9
2022-02-28,21684.2
2022-03-31,21720.8
2022-04-30,21749.6
2022-05-31,21689.9
2022-06-30,21642.5
2022-07-31,21641.8
2022-08-31,21606.6
2022-09-30,21520.5
2022-10-31,21424.6
2022-11-30,21358.0
2022-12-31,21219.3
2023-01-31,21205.1
2023-02-28,21184.6
2023-03-31,20876.3
2023-04-30,20729.9
2023-05-31,20801.4
2023-06-30,20782.6
2023-07-31,20772.3
2023-08-31,20746.9
2023-09-30,20720.0
2023-10-31,20687.3
2023-11-30,20696.8
2023-12-31,20701.4
