DATE,10Y_Yield
2000-01-01,1.6909999999999998
2000-02-01,1.796
2000-03-01,1.819
2000-04-01,1.74
2000-05-01,1.705
2000-06-01,1.664
2000-07-01,1.689
2000-08-01,1.75
2000-09-01,1.876
2000-10-01,1.815
2000-11-01,1.764
2000-12-01,1.624
2001-01-01,1.508
2001-02-01,1.415
2001-03-01,1.169
2001-04-01,1.315
2001-05-01,1.25
2001-06-01,1.152
2001-07-01,1.305
2001-08-01,1.343
2001-09-01,1.346
2001-10-01,1.3630000000000002
2001-11-01,1.328
2001-12-01,1.334
2002-01-01,1.42
2002-02-01,1.501
2002-03-01,1.421
2002-04-01,1.394
2002-05-01,1.365
2002-06-01,1.328
2002-07-01,1.296
2002-08-01,1.255
2002-09-01,1.129
2002-10-01,1.095
2002-11-01,0.979
2002-12-01,0.975
2003-01-01,0.8359999999999999
2003-02-01,0.8279999999999998
2003-03-01,0.724
2003-04-01,0.6629999999999999
2003-05-01,0.577
2003-06-01,0.529
2003-07-01,0.956
2003-08-01,1.406
2003-09-01,1.42
2003-10-01,1.4369999999999998
2003-11-01,1.333
2003-12-01,1.33
2004-01-01,1.33
2004-02-01,1.211
2004-03-01,1.418
2004-04-01,1.52
2004-05-01,1.505
2004-06-01,1.807
2004-07-01,1.808
2004-08-01,1.588
2004-09-01,1.393
2004-10-01,1.483
2004-11-01,1.452
2004-12-01,1.3969999999999998
2005-01-01,1.31
2005-02-01,1.419
2005-03-01,1.325
2005-04-01,1.257
2005-05-01,1.238
2005-06-01,1.143
2005-07-01,1.295
2005-08-01,1.365
2005-09-01,1.45
2005-10-01,1.513
2005-11-01,1.454
2005-12-01,1.4880000000000002
2006-01-01,1.547
2006-02-01,1.598
2006-03-01,1.759
2006-04-01,1.956
2006-05-01,1.849
2006-06-01,1.901
2006-07-01,1.927
2006-08-01,1.668
2006-09-01,1.628
2006-10-01,1.718
2006-11-01,1.69
2006-12-01,1.645
2007-01-01,1.705
2007-02-01,1.64
2007-03-01,1.629
2007-04-01,1.653
2007-05-01,1.733
2007-06-01,1.903
2007-07-01,1.809
2007-08-01,1.577
2007-09-01,1.698
2007-10-01,1.616
2007-11-01,1.497
2007-12-01,1.526
2008-01-01,1.429
2008-02-01,1.429
2008-03-01,1.245
2008-04-01,1.6
2008-05-01,1.778
2008-06-01,1.601
2008-07-01,1.537
2008-08-01,1.431
2008-09-01,1.481
2008-10-01,1.486
2008-11-01,1.3769999999999996
2008-12-01,1.214
2009-01-01,1.272
2009-02-01,1.277
2009-03-01,1.323
2009-04-01,1.402
2009-05-01,1.481
2009-06-01,1.3630000000000002
2009-07-01,1.386
2009-08-01,1.314
2009-09-01,1.258
2009-10-01,1.404
2009-11-01,1.253
2009-12-01,1.272
2010-01-01,1.308
