Date,Price,Open,High,Low,Change %
01-12-2023,-0.022,-0.038,-0.012,-0.066,-41.33%
01-11-2023,-0.038,0.003,0.014,-0.1,"-1,350.00%"
01-10-2023,0.003,-0.044,0.015,-0.067,-106.82%
01-09-2023,-0.044,-0.078,-0.039,-0.095,-43.59%
01-08-2023,-0.078,-0.091,-0.069,-0.106,-14.75%
01-07-2023,-0.091,-0.128,-0.089,-0.156,-28.52%
01-06-2023,-0.128,-0.127,-0.125,-0.162,0.39%
01-05-2023,-0.127,-0.113,-0.108,-0.139,10.87%
01-04-2023,-0.115,-0.125,-0.102,-0.147,-8.00%
01-03-2023,-0.125,-0.066,-0.066,-0.149,89.39%
01-02-2023,-0.066,-0.06,-0.052,-0.125,10.92%
01-01-2023,-0.06,0.009,0.017,-0.069,"-1,290.00%"
01-12-2022,0.005,-0.091,0.015,-0.1,-105.46%
01-11-2022,-0.091,-0.095,-0.079,-0.108,-3.68%
01-10-2022,-0.095,-0.103,-0.073,-0.125,-10.38%
01-09-2022,-0.106,-0.133,-0.1,-0.174,-20.30%
01-08-2022,-0.133,-0.148,-0.127,-0.152,-9.22%
01-07-2022,-0.147,-0.1,-0.1,-0.152,47.24%
01-06-2022,-0.1,-0.093,-0.068,-0.139,7.57%
01-05-2022,-0.093,-0.089,-0.069,-0.114,3.93%
01-04-2022,-0.089,-0.082,-0.068,-0.115,9.20%
01-03-2022,-0.082,-0.071,-0.054,-0.1,14.79%
01-02-2022,-0.071,-0.072,-0.058,-0.091,-2.07%
01-01-2022,-0.072,-0.094,-0.068,-0.095,-22.46%
01-12-2021,-0.094,-0.134,-0.089,-0.134,-30.48%
01-11-2021,-0.134,-0.111,-0.105,-0.144,20.09%
01-10-2021,-0.112,-0.128,-0.108,-0.134,-12.50%
01-09-2021,-0.128,-0.134,-0.116,-0.139,-4.48%
01-08-2021,-0.134,-0.133,-0.128,-0.149,-2.90%
01-07-2021,-0.138,-0.119,-0.112,-0.14,15.48%
01-06-2021,-0.119,-0.123,-0.114,-0.13,-2.85%
01-05-2021,-0.123,-0.128,-0.119,-0.139,-3.91%
01-04-2021,-0.128,-0.126,-0.119,-0.139,1.19%
01-03-2021,-0.126,-0.125,-0.114,-0.141,0.00%
01-02-2021,-0.126,-0.12,-0.108,-0.137,2.43%
01-01-2021,-0.123,-0.124,-0.115,-0.144,-0.40%
01-12-2020,-0.124,-0.135,-0.119,-0.142,-8.15%
01-11-2020,-0.135,-0.139,-0.127,-0.167,-1.82%
01-10-2020,-0.138,-0.15,-0.131,-0.157,-8.33%
01-09-2020,-0.15,-0.128,-0.124,-0.236,17.19%
01-08-2020,-0.128,-0.159,-0.123,-0.162,-19.50%
01-07-2020,-0.159,-0.168,-0.156,-0.183,-5.07%
01-06-2020,-0.168,-0.163,-0.159,-0.274,3.40%
01-05-2020,-0.162,-0.183,-0.157,-0.202,-15.18%
01-04-2020,-0.191,-0.148,-0.116,-0.199,39.42%
01-03-2020,-0.137,-0.214,-0.117,-0.309,-40.43%
01-02-2020,-0.23,-0.154,-0.131,-0.23,56.46%
01-01-2020,-0.147,-0.134,-0.104,-0.149,15.75%
01-12-2019,-0.127,-0.155,-0.102,-0.164,-20.13%
01-11-2019,-0.159,-0.228,-0.144,-0.248,-25.70%
01-10-2019,-0.214,-0.297,-0.185,-0.315,-28.43%
01-09-2019,-0.299,-0.256,-0.23,-0.32,10.74%
01-08-2019,-0.27,-0.181,-0.166,-0.285,47.54%
01-07-2019,-0.183,-0.206,-0.167,-0.211,-9.41%
01-06-2019,-0.202,-0.158,-0.154,-0.222,24.69%
01-05-2019,-0.162,-0.158,-0.15,-0.163,1.89%
01-04-2019,-0.159,-0.17,-0.146,-0.172,-10.17%
01-03-2019,-0.177,-0.156,-0.14,-0.187,9.26%
01-02-2019,-0.162,-0.186,-0.158,-0.193,-10.00%
01-01-2019,-0.18,-0.151,-0.133,-0.189,21.62%
01-12-2018,-0.148,-0.141,-0.135,-0.183,2.07%
01-11-2018,-0.145,-0.134,-0.126,-0.162,7.41%
01-10-2018,-0.135,-0.118,-0.114,-0.137,14.41%
01-09-2018,-0.118,-0.113,-0.106,-0.119,4.42%
01-08-2018,-0.113,-0.111,-0.088,-0.13,-5.04%
01-07-2018,-0.119,-0.124,-0.107,-0.131,-4.03%
01-06-2018,-0.124,-0.143,-0.122,-0.144,-13.29%
01-05-2018,-0.143,-0.135,-0.125,-0.147,5.15%
01-04-2018,-0.136,-0.133,-0.125,-0.155,0.00%
01-03-2018,-0.136,-0.159,-0.133,-0.17,-14.47%
01-02-2018,-0.159,-0.134,-0.122,-0.16,16.06%
01-01-2018,-0.137,-0.14,-0.123,-0.145,-1.44%
01-12-2017,-0.139,-0.157,-0.133,-0.162,-12.03%
01-11-2017,-0.158,-0.159,-0.156,-0.215,-0.63%
01-10-2017,-0.159,-0.131,-0.123,-0.161,22.31%
01-09-2017,-0.13,-0.147,-0.124,-0.161,-10.96%
01-08-2017,-0.146,-0.115,-0.105,-0.15,30.36%
01-07-2017,-0.112,-0.11,-0.09,-0.125,7.69%
01-06-2017,-0.104,-0.151,-0.095,-0.161,-34.18%
01-05-2017,-0.158,-0.203,-0.144,-0.209,-21.39%
01-04-2017,-0.201,-0.239,-0.178,-0.246,-19.92%
01-03-2017,-0.251,-0.276,-0.244,-0.34,-10.99%
01-02-2017,-0.282,-0.279,-0.263,-0.303,1.44%
01-01-2017,-0.278,-0.252,-0.25,-0.317,9.02%
01-12-2016,-0.255,-0.237,-0.236,-0.311,1.19%
01-11-2016,-0.252,-0.299,-0.225,-0.328,-14.86%
01-10-2016,-0.296,-0.313,-0.285,-0.326,-7.21%
