DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COMP_METHOD:Compilation methodology,UNIT_MEASURE:Unit of measure,CURRENCY:Currency,TRANSFORMATION:Transformation,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-01-31,F:Free (free for publication),,A:Normal value,2.3641906873745
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-02-28,F:Free (free for publication),,A:Normal value,2.2882483370415
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-03-31,F:Free (free for publication),,A:Normal value,2.8758314856035
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-04-30,F:Free (free for publication),,A:Normal value,2.411031042142
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-05-31,F:Free (free for publication),,A:Normal value,2.2638580931389
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-06-30,F:Free (free for publication),,A:Normal value,2.3702882483502
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-07-31,F:Free (free for publication),,A:Normal value,2.3966186252904
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-08-31,F:Free (free for publication),,A:Normal value,2.4284922394813
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-09-30,F:Free (free for publication),,A:Normal value,2.5163525499031
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-10-31,F:Free (free for publication),,A:Normal value,2.5587583148701
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-11-30,F:Free (free for publication),,A:Normal value,2.6089246119879
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1957-12-31,F:Free (free for publication),,A:Normal value,3.015903909256
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-01-31,F:Free (free for publication),,A:Normal value,2.6330376940279
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-02-28,F:Free (free for publication),,A:Normal value,2.6638026607686
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-03-31,F:Free (free for publication),,A:Normal value,3.2087028825012
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-04-30,F:Free (free for publication),,A:Normal value,2.7208980044497
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-05-31,F:Free (free for publication),,A:Normal value,2.5925720620986
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-06-30,F:Free (free for publication),,A:Normal value,2.6455099778417
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-07-31,F:Free (free for publication),,A:Normal value,2.6441241685291
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-08-31,F:Free (free for publication),,A:Normal value,2.6238913525644
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-09-30,F:Free (free for publication),,A:Normal value,2.5521064301694
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-10-31,F:Free (free for publication),,A:Normal value,2.5601441241827
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-11-30,F:Free (free for publication),,A:Normal value,2.5740022173092
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1958-12-31,F:Free (free for publication),,A:Normal value,3.033361134287
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-01-31,F:Free (free for publication),,A:Normal value,2.5792682926972
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-02-28,F:Free (free for publication),,A:Normal value,2.5800997782848
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-03-31,F:Free (free for publication),,A:Normal value,2.9470620842735
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-04-30,F:Free (free for publication),,A:Normal value,2.6593680709682
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-05-31,F:Free (free for publication),,A:Normal value,2.5645787139832
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-06-30,F:Free (free for publication),,A:Normal value,2.6557649667553
"BIS,WS_CBTA,1.0",M.JP.B.USD._Z.B,M:Monthly,JP:Japan,B:BIS-spliced,USD:US dollar,_Z:Not applicable,B:Adjusted for breaks,US dollar,Billions,1959-07-31,F:Free (free for publication),,A:Normal value,2.70011086476
