DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,ADJUSTMENT:Adjustment indicator,REF_AREA:Reference area,COUNTERPART_AREA:Counterpart area,REF_SECTOR:Reporting institutional sector,COUNTERPART_SECTOR:Counterpart institutional sector,CONSOLIDATION:Consolidation Status,ACCOUNTING_ENTRY:Accounting Entry,"STO:Stocks, Transactions, Other Flows",INSTR_ASSET:Instrument and Assets Classification,MATURITY:Original and Residual Maturity,"EXPENDITURE:Expenditure (COFOG, COICOP, COPP or COPNI)",UNIT_MEASURE:Unit,CURRENCY_DENOM:Currency of denomination,VALUATION:Valuation,PRICES:Prices,TRANSFORMATION:Transformation,CUST_BREAKDOWN:Custom breakdown codification,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2012-03-31,F:Free (free for publication),,M:Missing value; data cannot exist,
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2012-06-30,F:Free (free for publication),,A:Normal,62.06501921368
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2012-09-30,F:Free (free for publication),,A:Normal,66.24693613802
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2012-12-31,F:Free (free for publication),,A:Normal,-17.7234503183
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2013-03-31,F:Free (free for publication),,A:Normal,-29.15377585197
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2013-06-30,F:Free (free for publication),,A:Normal,18.03262101141
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2013-09-30,F:Free (free for publication),,A:Normal,-20.90641491518
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2013-12-31,F:Free (free for publication),,A:Normal,36.75368089565
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2014-03-31,F:Free (free for publication),,A:Normal,17.17367395527
"BIS,WS_NA_SEC_DSS,1.0",Q.N.JP.5Z.S1.S1.N.L.F.F3.T._Z.USD._T.M.V.N._T,Q:Quarterly,N:Neither seasonally adjusted nor calendar adjusted data,JP:Japan,5Z:Non-residents/Cross-border,S1:Total economy,S1:Total economy,N:Non-consolidated,L:Liabilities (Net Incurrence of),F:Transactions in financial assets and liabilities,F3:Debt securities,T:All original maturities,_Z:Not applicable,USD:US dollar,_T:All currencies,M:Market value,V:Current prices,N:Non transformed data,_T:Total,US dollar,Billions,2014-06-30,F:Free (free for publication),,A:Normal,38.06567792075
