observation_date,INDPRO
2000-01-01,91.4092
2000-02-01,91.7245
2000-03-01,92.083
2000-04-01,92.6659
2000-05-01,92.9347
2000-06-01,93.0018
2000-07-01,92.8373
2000-08-01,92.591
2000-09-01,92.9827
2000-10-01,92.64
2000-11-01,92.6604
2000-12-01,92.3457
2001-01-01,91.8908
2001-02-01,91.2851
2001-03-01,91.0585
2001-04-01,90.7384
2001-05-01,90.2607
2001-06-01,89.7811
2001-07-01,89.2352
2001-08-01,89.157
2001-09-01,88.6749
2001-10-01,88.4051
2001-11-01,87.886
2001-12-01,87.8518
2002-01-01,88.4634
2002-02-01,88.4578
2002-03-01,89.1265
2002-04-01,89.5507
2002-05-01,89.9348
2002-06-01,90.6736
2002-07-01,90.6436
2002-08-01,90.5505
2002-09-01,90.6373
2002-10-01,90.3988
2002-11-01,90.8947
2002-12-01,90.3906
2003-01-01,91.1369
2003-02-01,91.2505
2003-03-01,91.0006
2003-04-01,90.4311
2003-05-01,90.4
2003-06-01,90.5196
2003-07-01,90.9869
2003-08-01,90.7933
2003-09-01,91.3819
2003-10-01,91.5049
2003-11-01,92.1265
2003-12-01,92.1732
2004-01-01,92.3268
2004-02-01,92.8995
2004-03-01,92.5368
2004-04-01,92.8957
2004-05-01,93.5845
2004-06-01,92.8651
2004-07-01,93.5502
2004-08-01,93.6301
2004-09-01,93.7353
2004-10-01,94.5695
2004-11-01,94.8015
2004-12-01,95.5415
2005-01-01,95.8785
2005-02-01,96.5709
2005-03-01,96.4345
2005-04-01,96.6347
2005-05-01,96.7251
2005-06-01,97.1483
2005-07-01,96.8397
2005-08-01,97.1584
2005-09-01,95.2764
2005-10-01,96.4411
2005-11-01,97.5016
2005-12-01,97.9723
2006-01-01,98.127
2006-02-01,98.1687
2006-03-01,98.3913
2006-04-01,98.6826
2006-05-01,98.7074
2006-06-01,99.0398
2006-07-01,98.9751
2006-08-01,99.4047
2006-09-01,99.2246
2006-10-01,99.1229
2006-11-01,99.0963
2006-12-01,100.1125
2007-01-01,99.7546
2007-02-01,100.7166
2007-03-01,100.8952
2007-04-01,101.5723
2007-05-01,101.6269
2007-06-01,101.6547
2007-07-01,101.4953
2007-08-01,101.6943
2007-09-01,101.9428
2007-10-01,101.6446
2007-11-01,102.2167
2007-12-01,102.2764
2008-01-01,102.1493
2008-02-01,101.7756
2008-03-01,101.4508
2008-04-01,100.7554
2008-05-01,100.1336
2008-06-01,99.8728
2008-07-01,99.4194
2008-08-01,97.8491
2008-09-01,93.5576
2008-10-01,94.4985
2008-11-01,93.2617
2008-12-01,90.6266
2009-01-01,88.3712
2009-02-01,87.843
2009-03-01,86.4689
2009-04-01,85.7903
2009-05-01,84.9436
2009-06-01,84.6746
2009-07-01,85.6853
2009-08-01,86.6393
2009-09-01,87.3821
2009-10-01,87.5809
2009-11-01,87.9388
2009-12-01,88.2404
2010-01-01,89.1897
2010-02-01,89.5046
2010-03-01,90.1356
2010-04-01,90.4607
2010-05-01,91.7014
2010-06-01,91.9033
2010-07-01,92.2549
2010-08-01,92.5936
2010-09-01,92.8533
2010-10-01,92.6033
2010-11-01,92.6686
2010-12-01,93.5916
2011-01-01,93.3889
2011-02-01,93.0045
2011-03-01,93.9684
2011-04-01,93.6571
2011-05-01,93.7723
2011-06-01,94.0493
2011-07-01,94.4958
2011-08-01,95.0974
2011-09-01,95.0244
2011-10-01,95.6891
2011-11-01,95.6778
2011-12-01,96.1809
2012-01-01,96.7595
2012-02-01,97.0662
2012-03-01,96.5609
2012-04-01,97.251
2012-05-01,97.4595
2012-06-01,97.4768
2012-07-01,97.6714
2012-08-01,97.2734
2012-09-01,97.2217
2012-10-01,97.5311
2012-11-01,97.9084
2012-12-01,98.1884
2013-01-01,98.1736
2013-02-01,98.6434
2013-03-01,99.047
2013-04-01,98.9445
2013-05-01,99.0383
2013-06-01,99.2221
2013-07-01,98.8987
2013-08-01,99.4897
2013-09-01,100.021
2013-10-01,99.9037
2013-11-01,100.1582
2013-12-01,100.374
2014-01-01,99.9899
2014-02-01,100.7471
2014-03-01,101.7435
2014-04-01,101.8273
2014-05-01,102.2392
2014-06-01,102.5774
2014-07-01,102.7954
2014-08-01,102.6322
2014-09-01,102.9417
2014-10-01,102.9611
2014-11-01,103.5978
2014-12-01,103.6151
2015-01-01,102.7923
2015-02-01,102.1366
2015-03-01,101.7869
2015-04-01,101.2255
2015-05-01,100.7675
2015-06-01,100.4588
2015-07-01,101.0893
2015-08-01,100.9165
2015-09-01,100.633
2015-10-01,100.1563
2015-11-01,99.4366
2015-12-01,98.9471
2016-01-01,99.4391
2016-02-01,98.9232
2016-03-01,98.1635
2016-04-01,98.4775
2016-05-01,98.2549
2016-06-01,98.7315
2016-07-01,98.8452
2016-08-01,98.7427
2016-09-01,98.6552
2016-10-01,98.7237
2016-11-01,98.3443
2016-12-01,99.0406
2017-01-01,98.8158
2017-02-01,98.4356
2017-03-01,99.0492
2017-04-01,100.0416
2017-05-01,100.128
2017-06-01,100.337
2017-07-01,100.0865
2017-08-01,99.6323
2017-09-01,99.7482
2017-10-01,100.9893
2017-11-01,101.2493
2017-12-01,101.4871
2018-01-01,101.4852
2018-02-01,101.7319
2018-03-01,102.1943
2018-04-01,103.3551
2018-05-01,102.381
2018-06-01,103.2256
2018-07-01,103.3561
2018-08-01,104.0585
2018-09-01,104.1038
2018-10-01,103.9297
2018-11-01,104.0126
2018-12-01,104.0451
2019-01-01,103.3598
2019-02-01,102.8251
2019-03-01,102.8361
2019-04-01,102.2748
2019-05-01,102.4176
2019-06-01,102.5425
2019-07-01,102.0057
2019-08-01,102.7814
2019-09-01,102.4601
2019-10-01,101.5878
2019-11-01,102.1494
2019-12-01,101.9421
2020-01-01,101.3372
2020-02-01,101.6718
2020-03-01,97.606
2020-04-01,84.6812
2020-05-01,86.0108
2020-06-01,91.6745
2020-07-01,95.0037
2020-08-01,95.9294
2020-09-01,95.8914
2020-10-01,96.5256
2020-11-01,96.9529
2020-12-01,98.2039
2021-01-01,98.8135
2021-02-01,95.5072
2021-03-01,98.1929
2021-04-01,98.3317
