observation_date,MYAGM2JPM189S
2000-01-01,623791700000000
2000-02-01,623599700000000
2000-03-01,624794300000000
2000-04-01,628892600000000
2000-05-01,627928200000000
2000-06-01,628445400000000
2000-07-01,629479100000000
2000-08-01,630006200000000
2000-09-01,631221400000000
2000-10-01,633586000000000
2000-11-01,633784700000000
2000-12-01,635905800000000
2001-01-01,637630300000000
2001-02-01,639548400000000
2001-03-01,640592500000000
2001-04-01,643277600000000
2001-05-01,644624000000000
2001-06-01,646253900000000
2001-07-01,647863200000000
2001-08-01,648700900000000
2001-09-01,650808200000000
2001-10-01,651700200000000
2001-11-01,652752600000000
2001-12-01,657681900000000
2002-01-01,660284400000000
2002-02-01,662055400000000
2002-03-01,664371000000000
2002-04-01,666202400000000
2002-05-01,667117600000000
2002-06-01,668097800000000
2002-07-01,668993200000000
2002-08-01,670646700000000
2002-09-01,671129500000000
2002-10-01,672843200000000
2002-11-01,673356300000000
2002-12-01,672766800000000
2003-01-01,673713300000000
2003-02-01,674891800000000
2003-03-01,675592000000000
2003-04-01,672662800000000
2003-05-01,674620200000000
2003-06-01,676601000000000
2003-07-01,677502200000000
2003-08-01,680230700000000
2003-09-01,678956300000000
2003-10-01,679563700000000
2003-11-01,680041000000000
2003-12-01,680286700000000
2004-01-01,681748700000000
2004-02-01,683369100000000
2004-03-01,684390200000000
2004-04-01,685289200000000
2004-05-01,688092700000000
2004-06-01,688493000000000
2004-07-01,690147500000000
2004-08-01,692896300000000
2004-09-01,692121900000000
2004-10-01,692885800000000
2004-11-01,693380200000000
2004-12-01,694130900000000
2005-01-01,695103000000000
2005-02-01,695733800000000
2005-03-01,698258300000000
2005-04-01,697487700000000
2005-05-01,698360000000000
2005-06-01,699609600000000
2005-07-01,701726200000000
2005-08-01,704059700000000
2005-09-01,705682300000000
2005-10-01,706166900000000
2005-11-01,707194300000000
2005-12-01,707270400000000
2006-01-01,707248400000000
2006-02-01,707432400000000
2006-03-01,707741400000000
2006-04-01,708574300000000
2006-05-01,707658400000000
2006-06-01,707096300000000
2006-07-01,705547400000000
2006-08-01,707174500000000
2006-09-01,709316800000000
2006-10-01,710062100000000
2006-11-01,711341400000000
2006-12-01,712343000000000
2007-01-01,713579100000000
2007-02-01,714287300000000
2007-03-01,715368400000000
2007-04-01,716718100000000
2007-05-01,717993300000000
2007-06-01,719441100000000
2007-07-01,720107300000000
2007-08-01,719585800000000
2007-09-01,721575900000000
2007-10-01,723472500000000
2007-11-01,725689000000000
2007-12-01,727505600000000
2008-01-01,729017800000000
2008-02-01,730911500000000
2008-03-01,731568400000000
2008-04-01,730218800000000
2008-05-01,732683400000000
2008-06-01,734958000000000
2008-07-01,735459100000000
2008-08-01,736727700000000
2008-09-01,737264100000000
2008-10-01,736410400000000
2008-11-01,738797300000000
2008-12-01,741154100000000
2009-01-01,743672500000000
2009-02-01,746639100000000
2009-03-01,748233000000000
2009-04-01,749692900000000
2009-05-01,752040200000000
2009-06-01,753133500000000
2009-07-01,755400600000000
2009-08-01,757304100000000
2009-09-01,759123200000000
2009-10-01,761031200000000
2009-11-01,763003900000000
2009-12-01,764212200000000
2010-01-01,766254300000000
2010-02-01,767507500000000
2010-03-01,768505600000000
2010-04-01,771070100000000
2010-05-01,775214100000000
2010-06-01,774772000000000
2010-07-01,775922900000000
2010-08-01,778410900000000
2010-09-01,780144200000000
2010-10-01,781847400000000
2010-11-01,782422900000000
2010-12-01,782124800000000
2011-01-01,784191300000000
2011-02-01,786271600000000
2011-03-01,788467400000000
2011-04-01,791857600000000
2011-05-01,796042300000000
2011-06-01,796635300000000
2011-07-01,798703700000000
2011-08-01,799518600000000
2011-09-01,801521300000000
2011-10-01,803731400000000
2011-11-01,805684800000000
2011-12-01,806454800000000
2012-01-01,808053100000000
2012-02-01,809353500000000
2012-03-01,811535500000000
2012-04-01,812562400000000
2012-05-01,813517200000000
2012-06-01,814609700000000
2012-07-01,817155500000000
2012-08-01,819331600000000
2012-09-01,821119200000000
2012-10-01,822064900000000
2012-11-01,822401300000000
2012-12-01,826626600000000
2013-01-01,829400100000000
2013-02-01,832728700000000
2013-03-01,836299000000000
2013-04-01,838721600000000
2013-05-01,841970100000000
2013-06-01,845781500000000
2013-07-01,848105100000000
2013-08-01,850579700000000
2013-09-01,853221400000000
2013-10-01,856068600000000
2013-11-01,857764600000000
2013-12-01,860992600000000
2014-01-01,864710900000000
2014-02-01,865372800000000
2014-03-01,866239600000000
2014-04-01,868091800000000
2014-05-01,869528300000000
2014-06-01,871765900000000
2014-07-01,873699700000000
2014-08-01,876001300000000
2014-09-01,879801100000000
2014-10-01,883280200000000
2014-11-01,888003500000000
2014-12-01,891360000000000
2015-01-01,893554700000000
2015-02-01,895584300000000
2015-03-01,897942500000000
2015-04-01,899974600000000
2015-05-01,905085200000000
2015-06-01,906294600000000
2015-07-01,909245000000000
2015-08-01,912552100000000
2015-09-01,913466700000000
2015-10-01,915511400000000
2015-11-01,917338900000000
2015-12-01,918860800000000
2016-01-01,921563600000000
2016-02-01,924250300000000
2016-03-01,926806600000000
2016-04-01,931215500000000
2016-05-01,936066500000000
2016-06-01,937754400000000
2016-07-01,940137900000000
2016-08-01,942082600000000
2016-09-01,945826500000000
2016-10-01,949202000000000
2016-11-01,953066300000000
2016-12-01,956012400000000
2017-01-01,959171000000000
2017-02-01,963218700000000
