DATE,Foreign_Holdings
2000-01-01,1085.0
2000-04-01,1060.7
2000-07-01,1038.8
2000-10-01,1015.2
2001-01-01,1012.5
2001-04-01,983.3
2001-07-01,992.2
2001-10-01,1040.1
2002-01-01,1057.2
2002-04-01,1123.1
2002-07-01,1188.6
2002-10-01,1235.6
2003-01-01,1275.2
2003-04-01,1371.9
2003-07-01,1443.3
2003-10-01,1523.1
2004-01-01,1670.0
2004-04-01,1735.4
2004-07-01,1794.5
2004-10-01,1849.3
2005-01-01,1952.0
2005-04-01,1878.0
2005-07-01,1930.0
2005-10-01,2034.0
2006-01-01,2082.1
2006-04-01,1977.8
2006-07-01,2025.3
2006-10-01,2103.1
2007-01-01,2194.8
2007-04-01,2192.0
2007-07-01,2235.3
2007-10-01,2353.2
2008-01-01,2506.3
2008-04-01,2587.4
2008-07-01,2802.4
2008-10-01,3077.2
2009-01-01,3265.7
2009-04-01,3460.8
2009-07-01,3570.6
2009-10-01,3685.1
2010-01-01,3877.9
2010-04-01,4070.0
2010-07-01,4324.2
2010-10-01,4435.6
2011-01-01,4481.4
2011-04-01,4690.6
2011-07-01,4912.1
2011-10-01,5006.9
2012-01-01,5145.1
2012-04-01,5310.9
2012-07-01,5476.1
2012-10-01,5573.8
2013-01-01,5725.0
2013-04-01,5595.0
2013-07-01,5652.8
2013-10-01,5792.6
2014-01-01,5948.3
2014-04-01,6018.7
2014-07-01,6069.2
2014-10-01,6157.7
2015-01-01,6172.6
2015-04-01,6163.1
2015-07-01,6105.9
2015-10-01,6146.2
2016-01-01,6284.4
2016-04-01,6279.1
2016-07-01,6155.9
2016-10-01,6006.3
2017-01-01,6075.3
2017-04-01,6151.9
2017-07-01,6301.9
2017-10-01,6211.3
2018-01-01,6223.4
2018-04-01,6225.0
2018-07-01,6225.9
2018-10-01,6270.1
2019-01-01,6474.0
2019-04-01,6625.9
2019-07-01,6923.5
2019-10-01,6844.2
2020-01-01,6949.5
2020-04-01,7052.1
2020-07-01,7069.2
2020-10-01,7070.7
2021-01-01,7038.3
2021-04-01,7518.9
2021-07-01,7570.9
2021-10-01,7740.4
2022-01-01,7604.2
2022-04-01,7416.9
2022-07-01,7251.5
2022-10-01,7197.8
2023-01-01,7471.4
2023-04-01,7559.0
2023-07-01,7515.1
2023-10-01,7939.2
