DATE,M2_Money_Supply
2000-01-01,4667.6
2000-02-01,4680.9
2000-03-01,4711.7
2000-04-01,4767.8
2000-05-01,4755.7
2000-06-01,4773.6
2000-07-01,4791.3
2000-08-01,4819.5
2000-09-01,4855.3
2000-10-01,4871.4
2000-11-01,4882.8
2000-12-01,4927.7
2001-01-01,4978.4
2001-02-01,5017.1
2001-03-01,5074.9
2001-04-01,5139.2
2001-05-01,5137.3
2001-06-01,5180.3
2001-07-01,5210.2
2001-08-01,5243.9
2001-09-01,5355.3
2001-10-01,5344.0
2001-11-01,5387.7
2001-12-01,5440.7
2002-01-01,5461.1
2002-02-01,5490.4
2002-03-01,5502.2
2002-04-01,5502.3
2002-05-01,5528.5
2002-06-01,5553.5
2002-07-01,5596.2
2002-08-01,5638.4
2002-09-01,5662.5
2002-10-01,5707.2
2002-11-01,5758.2
2002-12-01,5779.5
2003-01-01,5812.3
2003-02-01,5848.4
2003-03-01,5868.6
2003-04-01,5905.7
2003-05-01,5965.5
2003-06-01,6002.4
2003-07-01,6049.4
2003-08-01,6107.3
2003-09-01,6079.9
2003-10-01,6070.2
2003-11-01,6075.7
2003-12-01,6074.0
2004-01-01,6082.2
2004-02-01,6121.9
2004-03-01,6158.0
2004-04-01,6199.1
2004-05-01,6275.9
2004-06-01,6278.1
2004-07-01,6291.3
2004-08-01,6317.9
2004-09-01,6352.3
2004-10-01,6379.9
2004-11-01,6406.5
2004-12-01,6424.7
2005-01-01,6431.0
2005-02-01,6439.1
2005-03-01,6448.4
2005-04-01,6462.0
2005-05-01,6479.2
2005-06-01,6511.8
2005-07-01,6543.7
2005-08-01,6576.5
2005-09-01,6610.3
2005-10-01,6644.1
2005-11-01,6660.8
2005-12-01,6688.0
2006-01-01,6730.3
2006-02-01,6754.9
2006-03-01,6769.5
2006-04-01,6807.0
2006-05-01,6813.9
2006-06-01,6852.1
2006-07-01,6893.9
2006-08-01,6925.3
2006-09-01,6952.6
2006-10-01,7002.0
2006-11-01,7037.5
2006-12-01,7080.4
2007-01-01,7118.5
2007-02-01,7134.6
2007-03-01,7168.5
2007-04-01,7241.0
2007-05-01,7254.9
2007-06-01,7288.1
2007-07-01,7319.0
2007-08-01,7395.1
2007-09-01,7413.3
2007-10-01,7428.4
2007-11-01,7453.8
2007-12-01,7484.2
2008-01-01,7517.8
2008-02-01,7604.2
2008-03-01,7670.3
2008-04-01,7712.8
2008-05-01,7725.5
2008-06-01,7744.2
2008-07-01,7791.5
2008-08-01,7806.1
2008-09-01,7872.7
2008-10-01,7975.3
2008-11-01,8027.3
2008-12-01,8205.0
2009-01-01,8289.4
2009-02-01,8319.6
2009-03-01,8386.7
2009-04-01,8391.4
2009-05-01,8449.5
2009-06-01,8459.5
2009-07-01,8463.8
2009-08-01,8463.3
2009-09-01,8461.8
2009-10-01,8488.1
2009-11-01,8517.3
2009-12-01,8512.5
2010-01-01,8478.0
2010-02-01,8527.6
2010-03-01,8523.7
2010-04-01,8555.1
2010-05-01,8609.3
2010-06-01,8628.4
2010-07-01,8639.8
2010-08-01,8688.2
2010-09-01,8718.9
2010-10-01,8768.7
2010-11-01,8789.3
2010-12-01,8822.9
2011-01-01,8845.2
2011-02-01,8909.0
2011-03-01,8967.0
2011-04-01,9030.4
2011-05-01,9102.7
2011-06-01,9176.7
2011-07-01,9338.7
2011-08-01,9525.1
2011-09-01,9545.3
2011-10-01,9578.1
2011-11-01,9629.8
2011-12-01,9677.4
2012-01-01,9750.5
2012-02-01,9802.2
2012-03-01,9846.2
2012-04-01,9899.8
2012-05-01,9943.0
2012-06-01,10013.0
2012-07-01,10065.7
2012-08-01,10136.4
2012-09-01,10216.6
2012-10-01,10282.8
2012-11-01,10351.8
2012-12-01,10474.4
2013-01-01,10497.6
2013-02-01,10516.6
2013-03-01,10572.9
2013-04-01,10600.4
2013-05-01,10634.7
2013-06-01,10692.3
